COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
0.0,795.0,12.0,0.0,0.0,19.0
87.0,1357.0,57.0,38.0,0.0,107.0
958.0,5629.0,525.0,362.0,0.0,1121.0
5029.0,28844.0,3168.0,1927.0,16.0,6284.0
3636.0,30698.0,2594.0,1275.0,0.0,4965.0
22.0,863.0,32.0,10.0,0.0,44.0
155.0,2068.0,108.0,81.0,0.0,182.0
1269.0,6896.0,988.0,772.0,0.0,1488.0
6722.0,31591.0,5662.0,4271.0,0.0,8117.0
5892.0,41058.0,5179.0,3390.0,0.0,7687.0
0.0,495.0,0.0,0.0,0.0,15.0
57.0,779.0,49.0,35.0,0.0,71.0
474.0,3155.0,353.0,251.0,0.0,577.0
2637.0,16819.0,2266.0,1506.0,0.0,3400.0
2161.0,18786.0,2111.0,1077.0,0.0,3201.0
45.0,3141.0,66.0,12.0,0.0,100.0
423.0,7192.0,349.0,242.0,0.0,530.0
4251.0,26200.0,3393.0,2588.0,0.0,5060.0
22712.0,123359.0,20710.0,14906.0,24.0,28530.0
20898.0,174712.0,21370.0,12399.0,16.0,29889.0
0.0,624.0,14.0,0.0,0.0,22.0
53.0,1333.0,36.0,25.0,0.0,64.0
502.0,4510.0,387.0,275.0,0.0,616.0
2905.0,18286.0,2514.0,1794.0,0.0,3627.0
2738.0,24382.0,2449.0,1538.0,0.0,3654.0
0.0,257.0,0.0,0.0,0.0,10.0
15.0,510.0,10.0,0.0,0.0,20.0
178.0,2104.0,102.0,66.0,0.0,214.0
1141.0,11397.0,990.0,553.0,0.0,1578.0
1813.0,20485.0,1691.0,746.0,0.0,2760.0
0.0,124.0,0.0,0.0,0.0,0.0
0.0,194.0,0.0,0.0,0.0,0.0
53.0,766.0,53.0,24.0,0.0,73.0
537.0,4365.0,529.0,352.0,0.0,714.0
670.0,5868.0,559.0,335.0,0.0,894.0
58.0,2297.0,70.0,24.0,0.0,104.0
383.0,4575.0,320.0,232.0,0.0,471.0
3443.0,18836.0,2884.0,2373.0,0.0,3956.0
17866.0,97885.0,17181.0,12658.0,40.0,22412.0
17123.0,141190.0,18538.0,11337.0,44.0,24361.0
27.0,1417.0,31.0,10.0,0.0,50.0
188.0,2597.0,131.0,86.0,0.0,234.0
1685.0,9823.0,1131.0,916.0,0.0,1900.0
8781.0,48077.0,6984.0,5180.0,25.0,10604.0
6629.0,50880.0,5639.0,3623.0,12.0,8654.0
0.0,193.0,0.0,0.0,0.0,0.0
18.0,344.0,11.0,0.0,0.0,20.0
174.0,1153.0,117.0,96.0,0.0,195.0
1268.0,6812.0,989.0,783.0,0.0,1475.0
1324.0,9860.0,1046.0,731.0,0.0,1641.0
18.0,1249.0,30.0,0.0,0.0,41.0
93.0,2466.0,83.0,54.0,0.0,122.0
848.0,8174.0,674.0,482.0,0.0,1041.0
5155.0,45021.0,5148.0,3227.0,0.0,7077.0
5673.0,64034.0,6271.0,3274.0,0.0,8678.0
21.0,889.0,35.0,10.0,0.0,46.0
66.0,1726.0,68.0,39.0,0.0,96.0
631.0,5843.0,574.0,411.0,0.0,796.0
4605.0,31383.0,4456.0,3010.0,0.0,6059.0
4731.0,39481.0,4382.0,2544.0,0.0,6575.0
0.0,265.0,0.0,0.0,0.0,0.0
20.0,432.0,0.0,0.0,0.0,25.0
200.0,1782.0,120.0,77.0,0.0,243.0
1427.0,11950.0,1189.0,684.0,0.0,1940.0
1875.0,19570.0,1716.0,768.0,0.0,2829.0
0.0,320.0,0.0,0.0,0.0,0.0
24.0,583.0,16.0,11.0,0.0,29.0
277.0,2122.0,190.0,144.0,0.0,323.0
1685.0,11470.0,1359.0,897.0,0.0,2153.0
1815.0,16547.0,1589.0,800.0,0.0,2611.0
0.0,553.0,10.0,0.0,0.0,16.0
64.0,1200.0,45.0,27.0,0.0,82.0
624.0,5166.0,506.0,360.0,0.0,771.0
4264.0,26061.0,4213.0,2692.0,0.0,5792.0
3735.0,27388.0,3752.0,2000.0,0.0,5493.0
11.0,811.0,29.0,0.0,0.0,34.0
82.0,1442.0,54.0,40.0,0.0,96.0
701.0,5539.0,465.0,371.0,0.0,795.0
3660.0,24476.0,2909.0,2077.0,0.0,4497.0
2465.0,25229.0,2220.0,1282.0,0.0,3411.0
0.0,104.0,0.0,0.0,0.0,0.0
0.0,197.0,0.0,0.0,0.0,0.0
67.0,1042.0,51.0,18.0,0.0,95.0
554.0,6142.0,493.0,193.0,0.0,856.0
807.0,9644.0,726.0,205.0,0.0,1329.0
10.0,551.0,0.0,0.0,0.0,17.0
42.0,1174.0,41.0,14.0,0.0,69.0
397.0,4289.0,294.0,176.0,0.0,515.0
2696.0,21649.0,2383.0,1284.0,0.0,3799.0
2956.0,29807.0,2975.0,1329.0,0.0,4608.0
0.0,444.0,10.0,0.0,0.0,15.0
32.0,817.0,23.0,13.0,0.0,42.0
215.0,3861.0,181.0,98.0,0.0,299.0
2070.0,21523.0,2138.0,1122.0,0.0,3093.0
3254.0,37310.0,3445.0,1623.0,0.0,5086.0
15.0,1097.0,20.0,0.0,0.0,31.0
112.0,1902.0,99.0,65.0,0.0,146.0
1037.0,7743.0,799.0,577.0,0.0,1260.0
6935.0,44997.0,6049.0,4151.0,11.0,8841.0
6846.0,60310.0,6161.0,3602.0,0.0,9415.0
0.0,571.0,19.0,0.0,0.0,28.0
31.0,910.0,25.0,0.0,0.0,50.0
308.0,3201.0,208.0,130.0,0.0,387.0
2059.0,17451.0,1711.0,1014.0,0.0,2759.0
2776.0,29318.0,2552.0,1142.0,0.0,4189.0
0.0,548.0,10.0,0.0,0.0,12.0
57.0,960.0,41.0,23.0,0.0,75.0
623.0,3496.0,450.0,350.0,0.0,727.0
3000.0,17667.0,2739.0,1761.0,12.0,3990.0
2224.0,17626.0,2202.0,1122.0,0.0,3313.0
16.0,940.0,17.0,0.0,0.0,29.0
72.0,1546.0,48.0,30.0,0.0,90.0
672.0,5720.0,498.0,354.0,0.0,817.0
4206.0,30395.0,3628.0,2413.0,0.0,5427.0
3980.0,37914.0,3721.0,2033.0,0.0,5673.0
0.0,126.0,0.0,0.0,0.0,0.0
11.0,255.0,0.0,0.0,0.0,16.0
109.0,887.0,84.0,62.0,0.0,131.0
837.0,4773.0,701.0,517.0,0.0,1025.0
858.0,6735.0,701.0,441.0,0.0,1119.0
0.0,255.0,0.0,0.0,0.0,11.0
20.0,306.0,22.0,11.0,0.0,31.0
147.0,1110.0,122.0,89.0,0.0,180.0
817.0,6793.0,819.0,461.0,0.0,1179.0
953.0,10636.0,1005.0,419.0,0.0,1540.0
0.0,330.0,0.0,0.0,0.0,10.0
49.0,707.0,47.0,33.0,0.0,63.0
553.0,2915.0,525.0,431.0,0.0,647.0
2868.0,14475.0,2991.0,2298.0,0.0,3566.0
2170.0,15519.0,2365.0,1680.0,0.0,2857.0
0.0,93.0,0.0,0.0,0.0,0.0
0.0,181.0,0.0,0.0,0.0,0.0
54.0,790.0,40.0,17.0,0.0,75.0
430.0,4930.0,397.0,227.0,0.0,601.0
716.0,7874.0,611.0,292.0,0.0,1036.0
0.0,510.0,12.0,0.0,0.0,19.0
68.0,1157.0,51.0,30.0,0.0,90.0
526.0,5259.0,417.0,275.0,0.0,669.0
4148.0,29138.0,3437.0,2299.0,0.0,5287.0
4855.0,47533.0,4721.0,2532.0,0.0,7047.0
0.0,216.0,0.0,0.0,0.0,0.0
53.0,768.0,43.0,31.0,0.0,65.0
513.0,2901.0,431.0,340.0,0.0,604.0
1835.0,9593.0,1559.0,1166.0,0.0,2230.0
1296.0,11114.0,1153.0,660.0,0.0,1790.0
12.0,806.0,16.0,0.0,0.0,25.0
62.0,1566.0,60.0,27.0,0.0,95.0
614.0,6262.0,449.0,270.0,0.0,793.0
5500.0,39525.0,4824.0,2713.0,0.0,7619.0
8613.0,67941.0,8128.0,3663.0,12.0,13093.0
19.0,1340.0,23.0,0.0,0.0,37.0
114.0,2669.0,91.0,65.0,0.0,141.0
1229.0,9210.0,927.0,709.0,0.0,1451.0
7235.0,47554.0,6750.0,4626.0,0.0,9367.0
6638.0,58168.0,6584.0,3701.0,0.0,9527.0
0.0,79.0,0.0,0.0,0.0,0.0
0.0,174.0,0.0,0.0,0.0,14.0
79.0,633.0,61.0,44.0,0.0,97.0
436.0,2950.0,456.0,268.0,0.0,627.0
412.0,4269.0,528.0,228.0,0.0,715.0
26.0,1564.0,45.0,0.0,0.0,66.0
120.0,2553.0,89.0,57.0,0.0,153.0
1232.0,10395.0,931.0,675.0,0.0,1488.0
9102.0,57630.0,7820.0,5466.0,0.0,11470.0
10056.0,75423.0,8110.0,5148.0,11.0,13031.0
17.0,584.0,24.0,0.0,0.0,36.0
73.0,920.0,71.0,35.0,0.0,110.0
734.0,3843.0,487.0,348.0,0.0,874.0
3727.0,20610.0,3154.0,1921.0,12.0,4977.0
3299.0,23193.0,2803.0,1472.0,13.0,4644.0
0.0,304.0,0.0,0.0,0.0,0.0
29.0,744.0,13.0,0.0,0.0,36.0
317.0,2922.0,182.0,138.0,0.0,362.0
1857.0,16710.0,1462.0,930.0,0.0,2390.0
1984.0,24346.0,1575.0,817.0,0.0,2746.0
21.0,1376.0,26.0,0.0,0.0,44.0
93.0,2500.0,72.0,38.0,0.0,129.0
1034.0,9407.0,722.0,522.0,0.0,1235.0
8557.0,56501.0,6912.0,4744.0,12.0,10740.0
10841.0,86450.0,8636.0,5162.0,25.0,14334.0
0.0,76.0,0.0,0.0,0.0,0.0
0.0,167.0,0.0,0.0,0.0,0.0
28.0,637.0,37.0,15.0,0.0,55.0
455.0,3916.0,384.0,249.0,0.0,592.0
720.0,6835.0,614.0,337.0,0.0,997.0
21.0,730.0,12.0,0.0,0.0,34.0
73.0,1457.0,43.0,25.0,0.0,91.0
804.0,5311.0,436.0,324.0,0.0,918.0
4762.0,26692.0,3197.0,2086.0,0.0,5876.0
3837.0,30095.0,2836.0,1476.0,0.0,5202.0
0.0,148.0,0.0,0.0,0.0,10.0
0.0,207.0,0.0,0.0,0.0,10.0
67.0,708.0,71.0,46.0,0.0,93.0
452.0,3440.0,493.0,290.0,0.0,657.0
457.0,4904.0,507.0,221.0,0.0,746.0
21.0,1056.0,25.0,0.0,0.0,39.0
116.0,2107.0,84.0,62.0,0.0,138.0
1255.0,8563.0,918.0,715.0,0.0,1461.0
6920.0,40564.0,6201.0,4097.0,30.0,9049.0
5393.0,42899.0,5121.0,2832.0,34.0,7714.0
80.0,3666.0,92.0,20.0,0.0,153.0
646.0,6494.0,435.0,346.0,0.0,739.0
5975.0,24247.0,4207.0,3469.0,0.0,6720.0
24599.0,113055.0,20439.0,15190.0,91.0,29908.0
17487.0,124028.0,16215.0,10127.0,57.0,23618.0
0.0,444.0,0.0,0.0,0.0,12.0
47.0,585.0,21.0,14.0,0.0,54.0
316.0,2097.0,224.0,179.0,0.0,361.0
1243.0,8217.0,1027.0,709.0,0.0,1561.0
1061.0,12174.0,997.0,533.0,0.0,1526.0
0.0,26.0,0.0,0.0,0.0,0.0
0.0,113.0,0.0,0.0,0.0,0.0
0.0,410.0,11.0,0.0,0.0,16.0
110.0,2247.0,141.0,59.0,0.0,193.0
188.0,3852.0,233.0,66.0,0.0,355.0
17.0,901.0,10.0,0.0,0.0,25.0
68.0,1633.0,48.0,26.0,0.0,90.0
607.0,5851.0,437.0,299.0,0.0,747.0
4248.0,32201.0,3370.0,2213.0,0.0,5410.0
4728.0,44462.0,3743.0,2059.0,11.0,6424.0
0.0,675.0,21.0,0.0,0.0,25.0
48.0,1326.0,56.0,33.0,0.0,71.0
522.0,4724.0,488.0,373.0,0.0,637.0
2899.0,25799.0,3190.0,2125.0,0.0,3968.0
2690.0,36172.0,3068.0,1681.0,0.0,4077.0
0.0,198.0,0.0,0.0,0.0,0.0
17.0,433.0,16.0,0.0,0.0,26.0
270.0,2372.0,214.0,148.0,0.0,336.0
1908.0,12211.0,1913.0,1191.0,0.0,2630.0
1743.0,13590.0,1721.0,915.0,0.0,2549.0
0.0,575.0,10.0,0.0,0.0,12.0
46.0,1005.0,28.0,17.0,0.0,57.0
384.0,3677.0,214.0,135.0,0.0,464.0
2485.0,21200.0,1830.0,1073.0,0.0,3246.0
3158.0,34350.0,2593.0,1246.0,0.0,4508.0
0.0,52.0,0.0,0.0,0.0,0.0
0.0,127.0,0.0,0.0,0.0,0.0
55.0,445.0,50.0,27.0,0.0,70.0
453.0,2396.0,376.0,307.0,0.0,522.0
448.0,2942.0,375.0,236.0,0.0,589.0
0.0,714.0,15.0,0.0,0.0,25.0
27.0,1243.0,23.0,10.0,0.0,41.0
183.0,4745.0,190.0,48.0,0.0,337.0
1911.0,24859.0,1738.0,618.0,50.0,3076.0
2099.0,29566.0,1969.0,672.0,65.0,3453.0
15.0,875.0,25.0,0.0,0.0,44.0
49.0,1742.0,48.0,21.0,0.0,78.0
335.0,5930.0,389.0,181.0,0.0,558.0
2333.0,26931.0,2621.0,1293.0,62.0,3719.0
3174.0,39596.0,3290.0,1511.0,59.0,5004.0
11.0,468.0,21.0,0.0,0.0,30.0
19.0,659.0,14.0,0.0,0.0,31.0
148.0,2635.0,153.0,62.0,11.0,252.0
1111.0,14974.0,1321.0,537.0,64.0,1956.0
1484.0,18890.0,1653.0,587.0,59.0,2606.0
81.0,3138.0,81.0,19.0,15.0,157.0
174.0,6412.0,178.0,62.0,14.0,302.0
1263.0,23179.0,1331.0,533.0,57.0,2113.0
8214.0,108375.0,10408.0,4361.0,227.0,14476.0
12664.0,174367.0,15742.0,6191.0,358.0,22553.0
10.0,633.0,18.0,0.0,0.0,30.0
26.0,1287.0,37.0,0.0,0.0,59.0
201.0,4098.0,204.0,83.0,0.0,332.0
1275.0,16851.0,1399.0,583.0,67.0,2155.0
1902.0,24779.0,1926.0,784.0,97.0,3134.0
0.0,270.0,0.0,0.0,0.0,14.0
10.0,481.0,0.0,0.0,0.0,15.0
90.0,1999.0,69.0,28.0,0.0,137.0
842.0,10998.0,932.0,337.0,15.0,1458.0
1629.0,21229.0,1860.0,577.0,54.0,2961.0
0.0,168.0,0.0,0.0,0.0,10.0
0.0,191.0,0.0,0.0,0.0,0.0
47.0,736.0,40.0,15.0,0.0,68.0
328.0,4260.0,403.0,180.0,0.0,561.0
490.0,6023.0,509.0,229.0,0.0,779.0
37.0,2337.0,58.0,10.0,0.0,93.0
67.0,3945.0,107.0,35.0,0.0,145.0
528.0,15307.0,754.0,270.0,10.0,1030.0
5379.0,83913.0,7624.0,3056.0,139.0,10075.0
10885.0,137038.0,13047.0,5600.0,224.0,18530.0
26.0,1522.0,28.0,0.0,0.0,54.0
52.0,2369.0,53.0,12.0,0.0,98.0
365.0,8244.0,369.0,147.0,0.0,595.0
3116.0,41464.0,3199.0,1449.0,86.0,4940.0
3666.0,49169.0,3652.0,1572.0,96.0,5834.0
0.0,177.0,0.0,0.0,0.0,0.0
0.0,311.0,0.0,0.0,0.0,0.0
43.0,1010.0,44.0,12.0,0.0,71.0
388.0,5878.0,367.0,195.0,12.0,579.0
643.0,9704.0,641.0,265.0,47.0,1064.0
16.0,1235.0,36.0,0.0,0.0,56.0
50.0,2151.0,53.0,22.0,0.0,82.0
406.0,7814.0,371.0,165.0,10.0,627.0
3129.0,42925.0,3630.0,1708.0,98.0,5144.0
5120.0,65320.0,5568.0,2374.0,144.0,8444.0
21.0,983.0,22.0,0.0,0.0,45.0
37.0,1433.0,38.0,17.0,0.0,61.0
324.0,5452.0,322.0,161.0,0.0,496.0
2464.0,28968.0,2926.0,1358.0,97.0,4119.0
3184.0,39247.0,3374.0,1435.0,112.0,5229.0
0.0,325.0,10.0,0.0,0.0,18.0
0.0,414.0,0.0,0.0,0.0,11.0
93.0,1710.0,80.0,41.0,0.0,138.0
783.0,11339.0,840.0,330.0,37.0,1326.0
1356.0,19996.0,1396.0,427.0,93.0,2416.0
0.0,331.0,0.0,0.0,0.0,12.0
14.0,553.0,16.0,0.0,0.0,24.0
141.0,1969.0,111.0,58.0,0.0,203.0
920.0,10852.0,882.0,427.0,42.0,1413.0
1326.0,16926.0,1284.0,503.0,77.0,2178.0
10.0,518.0,11.0,0.0,0.0,26.0
30.0,970.0,25.0,0.0,0.0,50.0
226.0,4607.0,246.0,98.0,11.0,390.0
2321.0,23569.0,2746.0,1146.0,118.0,4023.0
3167.0,27509.0,3188.0,1322.0,135.0,5146.0
17.0,764.0,27.0,0.0,0.0,43.0
28.0,1303.0,28.0,10.0,0.0,48.0
178.0,4809.0,158.0,70.0,0.0,272.0
1203.0,21296.0,1261.0,573.0,49.0,1938.0
1686.0,24319.0,1555.0,697.0,26.0,2570.0
0.0,128.0,0.0,0.0,0.0,0.0
0.0,239.0,0.0,0.0,0.0,0.0
39.0,1050.0,16.0,0.0,0.0,62.0
370.0,6022.0,410.0,109.0,0.0,683.0
632.0,9703.0,735.0,139.0,39.0,1264.0
14.0,611.0,0.0,0.0,0.0,24.0
22.0,1085.0,25.0,0.0,0.0,40.0
231.0,3872.0,184.0,78.0,0.0,347.0
1536.0,19951.0,1670.0,623.0,38.0,2614.0
2512.0,30078.0,2633.0,868.0,67.0,4334.0
13.0,451.0,11.0,0.0,0.0,26.0
17.0,806.0,15.0,0.0,0.0,28.0
160.0,3628.0,146.0,56.0,0.0,260.0
1359.0,20945.0,1566.0,611.0,50.0,2362.0
2786.0,38390.0,3046.0,1017.0,141.0,4946.0
24.0,1117.0,29.0,0.0,0.0,57.0
42.0,1635.0,47.0,14.0,0.0,76.0
338.0,6709.0,321.0,140.0,0.0,530.0
3020.0,40320.0,3395.0,1448.0,71.0,5033.0
4685.0,59203.0,4390.0,1823.0,120.0,7366.0
17.0,579.0,23.0,0.0,0.0,36.0
19.0,805.0,15.0,0.0,0.0,32.0
125.0,3013.0,134.0,40.0,0.0,226.0
1117.0,16865.0,1156.0,419.0,49.0,1902.0
